epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
68,1552.96,0.73641,0.42686,0.91103,0.95221,0.94798,0.96559,0.84329,0.6996,0.39883,0.90202,0.007789,0.007789,0.007789
69,1576.1,0.72733,0.42211,0.91116,0.94554,0.96236,0.97136,0.83579,0.71405,0.41388,0.8963,0.007756,0.007756,0.007756
70,1598.62,0.74472,0.42598,0.91394,0.96743,0.96814,0.97152,0.83021,0.77221,0.41046,0.90956,0.007723,0.007723,0.007723
71,1621.25,0.7285,0.41896,0.91009,0.98518,0.95451,0.96899,0.83434,0.71297,0.40606,0.9043,0.00769,0.00769,0.00769
72,1644.96,0.72355,0.41747,0.90944,0.98738,0.93844,0.96702,0.83937,0.70746,0.40703,0.89602,0.007657,0.007657,0.007657
73,1667.75,0.72509,0.42039,0.91116,0.97578,0.95498,0.97316,0.84161,0.68575,0.40396,0.88781,0.007624,0.007624,0.007624
74,1691.02,0.73186,0.42333,0.91018,0.95326,0.92184,0.95301,0.82274,0.71653,0.4429,0.89233,0.007591,0.007591,0.007591
75,1713.79,0.71413,0.41749,0.91081,0.98302,0.95646,0.97331,0.8439,0.67993,0.37887,0.89189,0.007558,0.007558,0.007558
76,1737.34,0.71276,0.41356,0.90223,0.97646,0.96165,0.97414,0.83836,0.71397,0.39325,0.88781,0.007525,0.007525,0.007525
77,1759.79,0.73125,0.41804,0.91069,0.96852,0.9647,0.97111,0.84009,0.70701,0.38691,0.89754,0.007492,0.007492,0.007492
78,1783.35,0.711,0.41254,0.90529,0.96937,0.96638,0.96581,0.82678,0.69823,0.38461,0.89236,0.007459,0.007459,0.007459
79,1804.85,0.70393,0.40389,0.9067,0.98487,0.96682,0.97337,0.8479,0.66972,0.37176,0.87987,0.007426,0.007426,0.007426
80,1828.8,0.70308,0.40196,0.90362,0.96543,0.94467,0.9684,0.83877,0.69884,0.39943,0.90083,0.007393,0.007393,0.007393
81,1849.7,0.70201,0.40572,0.90758,0.98125,0.9515,0.97057,0.84384,0.67386,0.38565,0.88825,0.00736,0.00736,0.00736
82,1871.61,0.69777,0.40506,0.9027,0.97829,0.95332,0.96902,0.83356,0.69775,0.40852,0.89463,0.007327,0.007327,0.007327
