epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
96,5198.2,0.54853,0.33129,0.86243,0.98492,0.97373,0.97917,0.847,0.68878,0.30231,0.86786,0.0052975,0.0052975,0.0052975
97,5250.79,0.54581,0.3329,0.86373,0.98755,0.97302,0.97917,0.84633,0.68768,0.3014,0.86725,0.005248,0.005248,0.005248
98,5305.29,0.53986,0.32888,0.86103,0.98775,0.97334,0.97953,0.84632,0.6869,0.29756,0.86738,0.0051985,0.0051985,0.0051985
99,5358.43,0.53842,0.32576,0.8634,0.98857,0.97193,0.97904,0.84586,0.68752,0.29934,0.86802,0.005149,0.005149,0.005149
100,5410.26,0.53503,0.32616,0.86002,0.98767,0.9727,0.97967,0.8491,0.68468,0.29958,0.86728,0.0050995,0.0050995,0.0050995
101,5462.58,0.53749,0.32706,0.8599,0.98888,0.97084,0.97998,0.847,0.68452,0.29952,0.86778,0.00505,0.00505,0.00505
102,5516.44,0.53589,0.32429,0.85989,0.98778,0.97038,0.98011,0.84851,0.68508,0.29874,0.869,0.0050005,0.0050005,0.0050005
103,5568.81,0.53113,0.32478,0.85798,0.99051,0.96702,0.98017,0.85082,0.68371,0.29903,0.86817,0.004951,0.004951,0.004951
104,5621.18,0.52639,0.31963,0.85924,0.98771,0.96922,0.98025,0.85288,0.68451,0.29666,0.8685,0.0049015,0.0049015,0.0049015
105,5674.9,0.52559,0.31947,0.85777,0.98929,0.96814,0.98063,0.85318,0.68345,0.29734,0.86835,0.004852,0.004852,0.004852
106,5727.99,0.52371,0.31741,0.85741,0.98944,0.96724,0.98068,0.85448,0.68386,0.29713,0.8692,0.0048025,0.0048025,0.0048025
107,5779.83,0.51791,0.31688,0.85669,0.98946,0.96695,0.9801,0.8543,0.68341,0.29414,0.86941,0.004753,0.004753,0.004753
