epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
55,1089.73,0.75038,0.44153,0.88661,0.91391,0.92688,0.96318,0.81988,0.76293,0.44357,0.86314,0.00058175,0.00058175,0.00058175
56,1110.87,0.74715,0.4287,0.88669,0.91234,0.92934,0.95969,0.83667,0.66564,0.40705,0.84821,0.000569375,0.000569375,0.000569375
57,1130.13,0.74607,0.43996,0.88931,0.96884,0.95323,0.96964,0.8436,0.66034,0.39229,0.85086,0.000557,0.000557,0.000557
58,1149.63,0.74382,0.42755,0.88446,0.93793,0.95978,0.97213,0.83877,0.71024,0.41553,0.84834,0.000544625,0.000544625,0.000544625
59,1170.77,0.73553,0.42904,0.88419,0.97124,0.91448,0.97165,0.83388,0.70934,0.426,0.85083,0.00053225,0.00053225,0.00053225
60,1189.84,0.73927,0.42061,0.88478,0.96602,0.9355,0.96627,0.83303,0.72477,0.3981,0.87239,0.000519875,0.000519875,0.000519875
61,1211.55,0.73185,0.41748,0.88158,0.97856,0.92714,0.96814,0.83699,0.67139,0.40539,0.84779,0.0005075,0.0005075,0.0005075
62,1231.4,0.72183,0.41046,0.87971,0.95196,0.94212,0.96352,0.83668,0.66953,0.4103,0.85636,0.000495125,0.000495125,0.000495125
63,1250.03,0.72645,0.41607,0.88055,0.96047,0.93929,0.96776,0.83452,0.68375,0.40387,0.85802,0.00048275,0.00048275,0.00048275
64,1271.51,0.72111,0.41125,0.88143,0.97873,0.91195,0.96678,0.84817,0.65372,0.42001,0.8497,0.000470375,0.000470375,0.000470375
65,1290.39,0.71527,0.41071,0.87781,0.96388,0.96422,0.97198,0.83967,0.70252,0.3912,0.86183,0.000458,0.000458,0.000458
66,1309.93,0.7119,0.40541,0.87764,0.93672,0.95975,0.96832,0.85352,0.66547,0.39591,0.84613,0.000445625,0.000445625,0.000445625
67,1330.07,0.71727,0.40907,0.88002,0.98606,0.91957,0.96646,0.84251,0.68826,0.40063,0.85045,0.00043325,0.00043325,0.00043325
68,1350.16,0.71238,0.40775,0.87573,0.94573,0.92675,0.96656,0.84437,0.65778,0.39772,0.85203,0.000420875,0.000420875,0.000420875
69,1368.99,0.70278,0.40144,0.8785,0.9778,0.93795,0.97179,0.84394,0.66961,0.39889,0.84888,0.0004085,0.0004085,0.0004085
70,1386.77,0.7184,0.40025,0.88051,0.98228,0.91922,0.96659,0.82782,0.73486,0.41947,0.85435,0.000396125,0.000396125,0.000396125
71,1405.92,0.70478,0.39636,0.87556,0.98075,0.91686,0.96389,0.84346,0.66881,0.41165,0.84246,0.00038375,0.00038375,0.00038375
72,1426.15,0.7025,0.39308,0.87449,0.95558,0.90624,0.95169,0.82859,0.68617,0.42004,0.84814,0.000371375,0.000371375,0.000371375
73,1444.7,0.70274,0.39419,0.87471,0.95429,0.94631,0.96546,0.83714,0.66644,0.4173,0.84514,0.000359,0.000359,0.000359
74,1462.5,0.70269,0.39564,0.8756,0.98341,0.91839,0.96653,0.84807,0.69061,0.40329,0.84796,0.000346625,0.000346625,0.000346625
75,1483.19,0.68453,0.38825,0.87276,0.93351,0.94965,0.96822,0.84996,0.65417,0.39462,0.84288,0.00033425,0.00033425,0.00033425
76,1502.08,0.68311,0.38281,0.87166,0.96825,0.92666,0.96803,0.83333,0.7352,0.40348,0.85372,0.000321875,0.000321875,0.000321875
77,1523.76,0.69225,0.38624,0.87435,0.93986,0.95473,0.97258,0.84797,0.67949,0.39282,0.85128,0.0003095,0.0003095,0.0003095
78,1543.22,0.68014,0.38253,0.87259,0.93709,0.92343,0.96618,0.84444,0.67435,0.40925,0.84955,0.000297125,0.000297125,0.000297125
79,1561.94,0.67001,0.37725,0.87044,0.98082,0.90857,0.96091,0.83881,0.67985,0.41106,0.84889,0.00028475,0.00028475,0.00028475
80,1582.2,0.66785,0.37602,0.86915,0.97832,0.91312,0.97057,0.85168,0.65502,0.38377,0.84308,0.000272375,0.000272375,0.000272375
81,1601.44,0.67162,0.3735,0.87337,0.98125,0.91694,0.96514,0.84581,0.6447,0.38458,0.84386,0.00026,0.00026,0.00026
82,1621.51,0.66331,0.37181,0.86963,0.93834,0.9522,0.97187,0.85709,0.66721,0.3926,0.84866,0.000247625,0.000247625,0.000247625
83,1641.76,0.6661,0.37524,0.86952,0.97144,0.93209,0.97264,0.84811,0.66289,0.40241,0.84759,0.00023525,0.00023525,0.00023525
84,1661.33,0.65664,0.37041,0.867,0.98393,0.91128,0.96888,0.84574,0.6923,0.39714,0.84817,0.000222875,0.000222875,0.000222875
85,1680.08,0.66117,0.37022,0.87143,0.97448,0.91157,0.96824,0.84602,0.65328,0.38471,0.84733,0.0002105,0.0002105,0.0002105
86,1700.42,0.64981,0.36182,0.86917,0.9804,0.9144,0.96477,0.85084,0.64165,0.37768,0.84248,0.000198125,0.000198125,0.000198125
87,1718.87,0.65866,0.36903,0.86695,0.97455,0.91824,0.96133,0.83936,0.6719,0.4037,0.84609,0.00018575,0.00018575,0.00018575
88,1739.42,0.64557,0.35858,0.86698,0.97954,0.91776,0.96958,0.85448,0.66862,0.39055,0.84506,0.000173375,0.000173375,0.000173375
89,1758.9,0.64306,0.35628,0.86403,0.98364,0.92264,0.96977,0.84911,0.6854,0.38478,0.84609,0.000161,0.000161,0.000161
90,1778.72,0.64415,0.35566,0.8635,0.98448,0.91479,0.96715,0.85022,0.65832,0.37882,0.8453,0.000148625,0.000148625,0.000148625
91,1799.03,0.60169,0.32649,0.8433,0.96482,0.91824,0.96268,0.84288,0.66105,0.38408,0.84657,0.00013625,0.00013625,0.00013625
92,1817.3,0.5779,0.31572,0.837,0.98289,0.91155,0.96509,0.84981,0.65488,0.38099,0.84756,0.000123875,0.000123875,0.000123875
93,1835.6,0.57469,0.31419,0.83788,0.9838,0.91808,0.96548,0.84757,0.66339,0.3833,0.8449,0.0001115,0.0001115,0.0001115
94,1855.94,0.57135,0.31272,0.83762,0.97744,0.91717,0.96167,0.84682,0.63856,0.37731,0.84118,9.9125e-05,9.9125e-05,9.9125e-05
95,1874.42,0.56191,0.30876,0.83198,0.98475,0.91756,0.96676,0.85519,0.64883,0.37083,0.84518,8.675e-05,8.675e-05,8.675e-05
96,1893.92,0.56199,0.30847,0.83371,0.98048,0.91784,0.95834,0.8403,0.6641,0.37671,0.84538,7.4375e-05,7.4375e-05,7.4375e-05
97,1913.35,0.55084,0.30175,0.8301,0.98257,0.91855,0.96782,0.85238,0.65792,0.36883,0.84454,6.2e-05,6.2e-05,6.2e-05
98,1932.24,0.55065,0.30398,0.83357,0.98465,0.91677,0.96571,0.84933,0.66243,0.37028,0.84545,4.9625e-05,4.9625e-05,4.9625e-05
99,1952.04,0.55084,0.30126,0.83254,0.98399,0.91636,0.96536,0.85326,0.65111,0.36227,0.8436,3.725e-05,3.725e-05,3.725e-05
100,1972.19,0.54205,0.29522,0.83434,0.98413,0.91888,0.96093,0.85178,0.64801,0.36709,0.84358,2.4875e-05,2.4875e-05,2.4875e-05
