epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
95,2050.47,0.38612,0.27573,0.83339,0.96672,0.96302,0.98865,0.87511,0.50867,0.2889,0.93678,0.0007592,0.0007592,0.0007592
96,2070.91,0.38127,0.27188,0.83215,0.9696,0.96228,0.98881,0.87494,0.50169,0.28613,0.93291,0.000746,0.000746,0.000746
97,2092.37,0.37841,0.26931,0.82838,0.96708,0.96707,0.98915,0.87491,0.50297,0.28582,0.93604,0.0007328,0.0007328,0.0007328
98,2114.3,0.37818,0.26984,0.82975,0.96844,0.96328,0.98878,0.87857,0.50248,0.28853,0.93787,0.0007196,0.0007196,0.0007196
99,2135.49,0.38041,0.27285,0.82854,0.96942,0.9575,0.98901,0.87599,0.50131,0.28682,0.93666,0.0007064,0.0007064,0.0007064
100,2156.37,0.37823,0.27082,0.82791,0.96756,0.96624,0.98854,0.87572,0.50178,0.28491,0.93675,0.0006932,0.0006932,0.0006932
101,2177.01,0.37419,0.26701,0.82945,0.97052,0.96373,0.98914,0.87746,0.50042,0.28233,0.93688,0.00068,0.00068,0.00068
102,2198.18,0.37567,0.26966,0.83058,0.97127,0.95884,0.98756,0.88167,0.4962,0.28229,0.93578,0.0006668,0.0006668,0.0006668
103,2219.38,0.37388,0.26963,0.82789,0.96754,0.96852,0.98692,0.87874,0.49899,0.28315,0.93649,0.0006536,0.0006536,0.0006536
104,2240.4,0.36722,0.26535,0.8262,0.97104,0.9674,0.98839,0.87951,0.49643,0.28278,0.93898,0.0006404,0.0006404,0.0006404
105,2261.72,0.37601,0.26987,0.82675,0.96784,0.96844,0.98913,0.88062,0.4902,0.27907,0.93395,0.0006272,0.0006272,0.0006272
106,2283.27,0.37181,0.26532,0.82731,0.96825,0.96863,0.98844,0.87825,0.49384,0.28149,0.93574,0.000614,0.000614,0.000614
107,2304.2,0.36932,0.26522,0.82719,0.96941,0.96574,0.98877,0.88055,0.49226,0.27894,0.9363,0.0006008,0.0006008,0.0006008
108,2325.73,0.3659,0.26453,0.82716,0.96186,0.96906,0.98719,0.87692,0.49411,0.28412,0.93486,0.0005876,0.0005876,0.0005876
109,2346.79,0.36395,0.26345,0.8255,0.96358,0.96254,0.98728,0.87978,0.48377,0.28085,0.9335,0.0005744,0.0005744,0.0005744
110,2369.7,0.35902,0.26085,0.82631,0.96921,0.96363,0.98765,0.88096,0.48815,0.28145,0.93267,0.0005612,0.0005612,0.0005612
111,2390.34,0.36319,0.26204,0.82574,0.97209,0.96474,0.98803,0.8826,0.48888,0.27902,0.93297,0.000548,0.000548,0.000548
112,2411.17,0.36118,0.2623,0.82421,0.96573,0.9645,0.98792,0.88352,0.48731,0.28021,0.9342,0.0005348,0.0005348,0.0005348
113,2431.76,0.35699,0.26008,0.82361,0.96527,0.96716,0.98805,0.88187,0.4871,0.27942,0.93518,0.0005216,0.0005216,0.0005216
114,2453.34,0.36125,0.26259,0.82361,0.97217,0.96435,0.98552,0.88131,0.47835,0.27891,0.93215,0.0005084,0.0005084,0.0005084
115,2474.99,0.35805,0.26012,0.82469,0.96876,0.96602,0.98794,0.8783,0.48506,0.27771,0.93412,0.0004952,0.0004952,0.0004952
116,2496.11,0.35856,0.2616,0.82346,0.96084,0.96906,0.98635,0.88392,0.48083,0.27696,0.93108,0.000482,0.000482,0.000482
117,2517.27,0.35584,0.25907,0.82474,0.96443,0.96696,0.98669,0.88215,0.4799,0.27722,0.93346,0.0004688,0.0004688,0.0004688
118,2538.57,0.35605,0.2584,0.82325,0.96717,0.96533,0.98582,0.88254,0.48117,0.27686,0.93038,0.0004556,0.0004556,0.0004556
119,2560.48,0.35683,0.25992,0.82457,0.96799,0.96707,0.9883,0.88382,0.47513,0.27337,0.92983,0.0004424,0.0004424,0.0004424
120,2583.05,0.35019,0.25632,0.82304,0.96859,0.96403,0.98819,0.88276,0.47725,0.27338,0.93145,0.0004292,0.0004292,0.0004292
121,2605.09,0.34556,0.25301,0.82149,0.97078,0.96507,0.98724,0.88402,0.46947,0.27306,0.92565,0.000416,0.000416,0.000416
122,2626.45,0.34932,0.25551,0.81932,0.97474,0.95758,0.98771,0.88483,0.47205,0.27336,0.92712,0.0004028,0.0004028,0.0004028
123,2647.67,0.34934,0.25459,0.82105,0.97168,0.95447,0.98743,0.88505,0.47675,0.27401,0.92961,0.0003896,0.0003896,0.0003896
124,2668.8,0.34815,0.25514,0.8225,0.96188,0.96875,0.98595,0.88336,0.47661,0.2743,0.92945,0.0003764,0.0003764,0.0003764
125,2689.65,0.34456,0.25332,0.82051,0.96097,0.9692,0.98723,0.88439,0.47155,0.27214,0.92769,0.0003632,0.0003632,0.0003632
126,2711.2,0.34354,0.25316,0.81935,0.96408,0.96549,0.98627,0.88328,0.47212,0.27325,0.92926,0.00035,0.00035,0.00035
127,2732.23,0.34811,0.2562,0.82151,0.96375,0.9663,0.98667,0.88542,0.47367,0.27353,0.92811,0.0003368,0.0003368,0.0003368
128,2752.9,0.34348,0.25371,0.8196,0.96401,0.96891,0.98614,0.88568,0.47023,0.27291,0.92767,0.0003236,0.0003236,0.0003236
129,2774.27,0.34312,0.25173,0.8176,0.96172,0.97059,0.9855,0.88709,0.46513,0.27061,0.92603,0.0003104,0.0003104,0.0003104
130,2795.36,0.34226,0.25276,0.8193,0.96387,0.96842,0.98739,0.88321,0.47287,0.27169,0.92996,0.0002972,0.0002972,0.0002972
131,2816.49,0.34008,0.25022,0.81862,0.96611,0.96618,0.98733,0.88556,0.46598,0.2706,0.92661,0.000284,0.000284,0.000284
132,2838.05,0.33449,0.24701,0.81619,0.96682,0.96689,0.98672,0.88585,0.46875,0.27089,0.92807,0.0002708,0.0002708,0.0002708
133,2859.72,0.34077,0.25181,0.81973,0.96783,0.96686,0.98637,0.88469,0.4673,0.27016,0.92866,0.0002576,0.0002576,0.0002576
134,2880.87,0.33776,0.24977,0.81676,0.96799,0.96825,0.98672,0.88802,0.46738,0.26915,0.92775,0.0002444,0.0002444,0.0002444
135,2901.61,0.33665,0.24872,0.81674,0.97032,0.96622,0.98572,0.88809,0.46404,0.26851,0.92612,0.0002312,0.0002312,0.0002312
136,2922.19,0.33579,0.24803,0.81594,0.97117,0.96575,0.98527,0.88461,0.46228,0.26864,0.92774,0.000218,0.000218,0.000218
137,2943.68,0.33374,0.24828,0.81544,0.9708,0.96575,0.98548,0.88753,0.46267,0.26974,0.92802,0.0002048,0.0002048,0.0002048
